#       RA           DEC
     0.270057     -8.51225
      2.57365     -7.72482
      4.93682     -7.15057
      7.34087     -6.79509
      9.76651     -6.66183
      12.1940     -6.75216
      14.6038     -7.06514
      16.9763     -7.59772
      20.1189     -8.66869
      22.3301     -9.69629
      24.4444     -10.9186
      26.4461     -12.3245
      28.3208     -13.9017
      30.0545     -15.6367
      31.6342     -17.5151
      33.0469     -19.5218
      34.2794     -21.6406
      35.3182     -23.8549
      36.1487     -26.1471
      36.7548     -28.4989
      37.1190     -30.8907
      37.2212     -33.3017
      35.8894     -35.3044
      35.4061     -37.6505
      34.5862     -39.9412
      33.4042     -42.1459
      31.8366     -44.2314
      29.8652     -46.1618
      27.4813     -47.8985
      24.6917     -49.4017
      21.5243     -50.6324
      18.0334     -51.5542
      14.3010     -52.1373
      10.4336     -52.3615
      6.55223     -52.2188
      2.77990     -51.7142
      359.227     -50.8655
      355.982     -49.7006
      353.105     -48.2547
      350.630     -46.5665
      348.567     -44.6759
      346.911     -42.6217
      346.213     -41.5155
      345.139     -39.2825
      344.420     -36.9727
      344.030     -34.6158
      343.944     -32.2388
      344.139     -29.8666
      344.593     -27.5222
      345.288     -25.2270
      346.205     -23.0012
      347.329     -20.8637
      348.644     -18.8327
      350.137     -16.9255
      351.793     -15.1583
      353.598     -13.5466
      355.537     -12.1047
      357.596     -10.8460
      359.758     -9.78214
      2.00553     -8.92347
      4.32050     -8.27843
      6.68368     -7.85350
      9.07515     -7.65300
      11.4745     -7.67899
      13.8613     -7.93120
      16.2152     -8.40705
      18.1947     -8.99039
      20.4354     -9.86742
      22.5889     -10.9488
      24.6378     -12.2241
      26.5662     -13.6814
      28.3587     -15.3074
      30.0008     -17.0875
      31.4784     -19.0063
      32.7775     -21.0473
      33.8837     -23.1932
      34.7821     -25.4259
      35.4564     -27.7263
      35.8890     -30.0740
      36.0603     -32.4476
      35.9487     -34.8238
      39.3192     -36.4312
      38.8305     -38.8781
      38.0115     -41.2749
      36.8322     -43.5944
      35.2622     -45.8063
      33.2733     -47.8769
      30.8444     -49.7693
      27.9670     -51.4439
      24.6529     -52.8596
      20.9417     -53.9764
      16.9062     -54.7587
      12.6523     -55.1790
      8.31141     -55.2214
      4.02608     -54.8844
      359.932     -54.1806
      356.141     -53.1354
      352.734     -51.7828
      349.757     -50.1623
      347.229     -48.3149
      345.143     -46.2806
      343.482     -44.0972
      342.114     -41.5656
      341.252     -39.1768
      340.724     -36.7347
      340.502     -34.2640
      340.559     -31.7871
      340.874     -29.3246
      341.425     -26.8954
      342.196     -24.5174
      343.170     -22.2072
      344.335     -19.9810
      345.678     -17.8541
      347.187     -15.8415
      348.852     -13.9574
      350.661     -12.2157
      352.602     -10.6294
      354.664     -9.21094
      356.834     -7.97174
      359.097     -6.92215
      1.43837     -6.07118
      3.84241     -5.42635
      6.29176     -4.99348
      8.76858     -4.77655
      11.2545     -4.77757
      13.7312     -4.99652
      16.1802     -5.43138
      19.3462     -6.33097
      21.6635     -7.24875
      23.8972     -8.36230
      26.0325     -9.66217
      28.0559     -11.1376
      29.9546     -12.7769
      31.7167     -14.5674
      33.3311     -16.4956
      34.7864     -18.5478
      36.0716     -20.7093
      37.1749     -22.9651
      38.0834     -25.2996
      38.7830     -27.6965
      39.2578     -30.1387
      39.4893     -32.6082
      39.4566     -35.0854
      38.0534     -36.8938
      37.4536     -39.2935
      36.5118     -41.6318
      35.1992     -43.8797
      33.4884     -46.0047
      31.3568     -47.9714
      28.7912     -49.7414
      25.7946     -51.2747
      22.3931     -52.5311
      18.6419     -53.4730
      14.6281     -54.0693
      10.4666     -54.2987
      6.28992     -54.1526
      2.23245     -53.6365
      358.414     -52.7691
      354.929     -51.5797
      351.839     -50.1046
      349.176     -48.3837
      346.949     -46.4574
      345.146     -44.3645
      344.274     -43.0675
      343.101     -40.7829
      342.288     -38.4188
      341.807     -36.0034
      341.630     -33.5620
      341.733     -31.1179
      342.093     -28.6923
      342.691     -26.3049
      343.510     -23.9742
      344.533     -21.7176
      345.748     -19.5520
      347.140     -17.4932
      348.698     -15.5568
      350.410     -13.7573
      352.264     -12.1089
      354.247     -10.6248
      356.345     -9.31721
      358.545     -8.19745
     0.831221     -7.27531
      3.18684     -6.55918
      5.59468     -6.05566
      8.03653     -5.76949
      10.4936     -5.70341
      12.9468     -5.85806
      15.3773     -6.23193
      17.7663     -6.82151
      19.7551     -7.48972
      22.0208     -8.46276
      24.1964     -9.63107
      26.2670     -10.9845
      28.2183     -12.5114
      30.0373     -14.1994
      31.7115     -16.0349
      33.2289     -18.0038
      34.5773     -20.0911
      35.7445     -22.2813
      36.7174     -24.5582
      37.4816     -26.9050
      38.0213     -29.3039
      38.3184     -31.7361
      38.3527     -34.1816
      41.4562     -37.8800
      40.8832     -40.3778
      39.9748     -42.8223
      38.6975     -45.1872
      37.0161     -47.4430
      34.8973     -49.5564
      32.3136     -51.4903
      29.2507     -53.2043
      25.7157     -54.6558
      21.7469     -55.8030
      17.4202     -56.6078
      12.8510     -57.0405
      8.18477     -57.0842
      3.58054     -56.7371
      359.189     -56.0130
      355.132     -54.9389
      351.496     -53.5516
      348.326     -51.8923
      345.637     -50.0038
      343.417     -47.9269
      341.641     -45.6998
      340.197     -43.1914
      339.234     -40.7574
      338.611     -38.2662
      338.298     -35.7416
      338.266     -33.2047
      338.490     -30.6749
      338.950     -28.1697
      339.628     -25.7057
      340.508     -23.2983
      341.577     -20.9625
      342.823     -18.7124
      344.236     -16.5620
      345.805     -14.5247
      347.522     -12.6136
      349.376     -10.8414
      351.358     -9.22039
      353.457     -7.76221
      355.662     -6.47775
      357.960     -5.37696
     0.337660     -4.46870
      2.78013     -3.76048
      5.27164     -3.25833
      7.79555     -2.96662
      10.3347     -2.88789
      12.8715     -3.02287
      15.3885     -3.37033
      17.8687     -3.92725
      20.8148     -4.88096
      23.1560     -5.88284
      25.4109     -7.07314
      27.5664     -8.44246
      29.6106     -9.98035
      31.5324     -11.6755
      33.3217     -13.5161
      34.9686     -15.4895
      36.4638     -17.5829
      37.7976     -19.7829
      38.9599     -22.0760
      39.9396     -24.4481
      40.7242     -26.8845
      41.2994     -29.3703
      41.6486     -31.8895
      41.7524     -34.4250
      40.5435     -35.9164
      40.1655     -38.4060
      39.4698     -40.8559
      38.4257     -43.2408
      37.0006     -45.5326
      35.1626     -47.6996
      32.8835     -49.7065
      30.1447     -51.5148
      26.9443     -53.0833
      23.3056     -54.3705
      19.2849     -55.3369
      14.9750     -55.9494
      10.5017     -56.1852
      6.01152     -56.0351
      1.65334     -55.5049
      357.559     -54.6146
      353.829     -53.3956
      350.528     -51.8862
      347.686     -50.1276
      345.306     -48.1615
      343.372     -46.0269
      341.146     -42.3687
      340.234     -39.9567
      339.659     -37.4893
      339.392     -34.9909
      339.404     -32.4832
      339.673     -29.9860
      340.178     -27.5176
      340.902     -25.0952
      341.829     -22.7349
      342.945     -20.4521
      344.239     -18.2616
      345.700     -16.1777
      347.317     -14.2145
      349.080     -12.3854
      350.978     -10.7032
      353.001     -9.18045
      355.137     -7.82860
      357.373     -6.65836
      359.695     -5.67928
      2.08878     -4.89961
      4.53802     -4.32612
      7.02599     -3.96384
      9.53516     -3.81606
      12.0477     -3.88409
      14.5455     -4.16732
      17.0111     -4.66321
      18.8944     -5.19283
      21.2609     -6.05467
      23.5496     -7.11274
      25.7462     -8.35822
      27.8375     -9.78110
      29.8110     -11.3703
      31.6555     -13.1139
      33.3601     -14.9992
      34.9147     -17.0133
      36.3088     -19.1423
      37.5319     -21.3722
      38.5726     -23.6884
      39.4184     -26.0759
      40.0550     -28.5191
      40.4663     -31.0013
      40.6334     -33.5051
      43.8983     -36.6781
      43.5655     -39.2572
      42.9258     -41.8036
      41.9454     -44.2951
      40.5866     -46.7063
      38.8092     -49.0083
      36.5735     -51.1679
      33.8446     -53.1477
      30.6007     -54.9062
      26.8429     -56.3989
      22.6069     -57.5813
      17.9723     -58.4124
      13.0651     -58.8600
      8.04836     -58.9052
      3.10168     -58.5462
      358.394     -57.7980
      354.061     -56.6905
      350.192     -55.2630
      346.832     -53.5598
      343.990     -51.6255
      341.647     -49.5025
      339.771     -47.2292
      338.350     -44.8922
      337.281     -42.4178
      336.561     -39.8827
      336.156     -37.3097
      336.036     -34.7192
      336.173     -32.1293
      336.545     -29.5568
      337.135     -27.0168
      337.924     -24.5239
      338.901     -22.0917
      340.054     -19.7335
