# ID        RA           DEC
  346       350.559     -27.3418
  347       351.262     -25.2581
  348       352.214     -23.2617
  349       353.393     -21.3783
  350       354.781     -19.6317
  351       356.354     -18.0440
  352       358.093     -16.6352
  353       359.974     -15.4233
  354       1.97549     -14.4241
  355       4.07283     -13.6504
  356       6.24103     -13.1126
  357       8.45421     -12.8178
  358       10.6859     -12.7700
  359       12.9094     -12.9698
  360       15.0980     -13.4146
  361       17.2181     -14.0955
  362       19.2598     -15.0083
  363       21.1908     -16.1391
  364       22.9876     -17.4733
  365       24.6279     -18.9936
  366       26.0901     -20.6809
  367       27.3531     -22.5138
  368       28.3962     -24.4692
  369       29.1985     -26.5220
  370       29.7388     -28.6455
  371       29.9956     -30.8109
  372       29.9469     -32.9873
  373       28.4254     -34.3069
  374       27.7838     -36.3707
  375       26.7772     -38.3437
  376       25.3951     -40.1843
  377       23.6369     -41.8497
  378       21.5159     -43.2967
  379       19.0634     -44.4839
  380       16.3315     -45.3743
  381       13.3940     -45.9378
  382       10.3423     -46.1546
  383       7.27891     -46.0166
  384       4.30751     -45.5289
  385       1.52280     -44.7089
  386       359.003     -43.5848
  387       356.805     -42.1922
  388       354.964     -40.5717
  389       353.895     -39.3214
  390       352.694     -37.4119
  391       351.864     -35.3904
  392       351.392     -33.2973
  393       351.259     -31.1712
  394       351.444     -29.0482
  395       351.925     -26.9620
  396       352.680     -24.9440
  397       353.686     -23.0235
  398       354.920     -21.2276
  399       356.361     -19.5814
  400       357.985     -18.1078
  401       359.768     -16.8272
  402       1.68575     -15.7577
  403       3.71279     -14.9142
  404       5.82220     -14.3089
  405       7.98634     -13.9504
  406       10.1768     -13.8440
  407       12.3650     -13.9912
  408       14.5222     -14.3899
  409       17.3155     -15.3080
  410       19.2911     -16.2665
  411       21.1446     -17.4440
  412       22.8509     -18.8237
  413       24.3857     -20.3866
  414       25.7258     -22.1108
  415       26.8484     -23.9724
  416       27.7312     -25.9454
  417       28.3515     -28.0014
  418       28.6871     -30.1101
  419       28.7155     -32.2390
  420       31.9563     -36.1381
  421       31.1899     -38.3183
  422       30.0610     -40.4072
  423       28.5528     -42.3681
  424       26.6564     -44.1623
  425       24.3746     -45.7493
  426       21.7274     -47.0894
  427       18.7557     -48.1446
  428       15.5244     -48.8824
  429       12.1210     -49.2782
  430       8.64966     -49.3182
  431       5.22169     -49.0008
  432       1.94383     -48.3373
  433       358.908     -47.3502
  434       356.184     -46.0704
  435       353.819     -44.5348
  436       351.836     -42.7833
  437       349.315     -39.3516
  438       348.374     -37.2115
  439       347.785     -34.9981
  440       347.527     -32.7444
  441       347.578     -30.4809
  442       347.914     -28.2360
  443       348.515     -26.0363
